Coach,Team,From,To,G,W,L,T,W-L%,G plyf,W plyf,L plyf,Chmp,Tenure,Current,Standard WP,Playoffs,SB,W-L
Leslie Frazier,MIN,2010,2013,54,21,32,1,0.389,1,0,1,0,4,0,-0.304191242,1,0,-11
Lindy Infante,GB,1988,1991,64,24,40,0,0.375,0,0,0,0,4,0,-0.399012749,0,0,-16
Lindy Infante,IND,1996,1997,32,12,20,0,0.375,1,0,1,0,2,0,-0.399012749,1,0,-8
Lou Holtz,NYJ,1976,1976,13,3,10,0,0.231,0,0,0,0,1,0,-1.374319674,0,0,-7
Lou Saban,BUF,1962,1976,117,68,45,4,0.581,4,2,2,2,15,0,0.996217991,1,1,23
Lou Saban,DEN,1967,1971,65,20,42,3,0.308,0,0,0,0,5,0,-0.852801388,0,0,-22
Lovie Smith,CHI,2004,2012,144,81,63,0,0.563,6,3,3,0,9,0,0.874304626,1,0,18
Lovie Smith,TB,2014,2015,32,8,24,0,0.25,0,0,0,0,2,0,-1.245633344,0,0,-16
Marc Trestman,CHI,2013,2014,32,13,19,0,0.406,0,0,0,0,2,0,-0.189050841,0,0,-6
Marion Campbell,PHI,1983,1985,47,17,29,1,0.362,0,0,0,0,3,0,-0.487061291,0,0,-12
Marion Campbell,ATL,1974,1989,68,17,51,0,0.25,0,0,0,0,16,0,-1.245633344,0,0,-34
Marty Mornhinweg,DET,2001,2002,32,5,27,0,0.156,0,0,0,0,2,0,-1.882292031,0,0,-22
Marty Schottenheimer,KC,1989,1998,160,101,58,1,0.631,10,3,7,0,10,0,1.334866229,1,0,43
Marty Schottenheimer,CLE,1984,1988,71,44,27,0,0.62,6,2,4,0,5,0,1.260363617,1,0,17
Marty Schottenheimer,LAC,2002,2006,80,47,33,0,0.588,2,0,2,0,5,0,1.043628745,1,0,14
Marty Schottenheimer,WFT,2001,2001,16,8,8,0,0.5,0,0,0,0,1,0,0.447607846,0,0,0
Marv Levy+,BUF,1986,1997,182,112,70,0,0.615,19,11,8,0,12,0,1.226498793,1,0,42
Marv Levy+,KC,1978,1982,73,31,42,0,0.425,0,0,0,0,5,0,-0.060364511,0,0,-11
Marvin Lewis,CIN,2003,2018,256,131,122,3,0.512,7,0,7,0,16,0,0.528883423,1,0,9
Matt LaFleur,GB,2019,2021,49,39,10,0,0.796,4,2,2,0,3,1,2.452405415,1,0,29
Matt Nagy,CHI,2018,2021,65,34,31,0,0.523,2,0,2,0,4,1,0.603386035,1,0,3
Matt Patricia,DET,2018,2020,43,13,29,1,0.302,0,0,0,0,3,0,-0.893439176,0,0,-16
Matt Rhule,CAR,2020,2021,33,10,23,0,0.303,0,0,0,0,2,1,-0.886666212,0,0,-13
Mike Ditka+,CHI,1982,1992,168,106,62,0,0.631,12,6,6,1,11,0,1.334866229,1,1,44
Mike Ditka+,NO,1997,1999,48,15,33,0,0.313,0,0,0,0,3,0,-0.818936564,0,0,-18
Mike Holmgren,GB,1992,1998,112,75,37,0,0.67,14,9,5,1,7,0,1.599011855,1,1,38
Mike Holmgren,SEA,1999,2008,160,86,74,0,0.538,10,4,6,0,10,0,0.704980507,1,0,12
